scope,group,condition,metric,numerator,denominator,rate
overall,all,separated,exact_match,120,120,1.0
overall,all,separated,evidence_reachable,120,120,1.0
overall,all,separated,retrieval_success,120,120,1.0
overall,all,separated,missing_response,0,120,0.0
overall,all,separated,format_error,0,120,0.0
overall,all,separated,null_answer,0,120,0.0
overall,all,separated,null_despite_evidence,0,120,0.0
overall,all,separated,supported_answer,120,120,1.0
overall,all,separated,cross_activity_confusion,0,0,
overall,all,separated,cross_activity_confusion_all_cells,0,120,0.0
overall,all,separated,context_contamination,0,240,0.0
overall,all,shared_interleaved,exact_match,120,120,1.0
overall,all,shared_interleaved,evidence_reachable,120,120,1.0
overall,all,shared_interleaved,retrieval_success,120,120,1.0
overall,all,shared_interleaved,missing_response,0,120,0.0
overall,all,shared_interleaved,format_error,0,120,0.0
overall,all,shared_interleaved,null_answer,0,120,0.0
overall,all,shared_interleaved,null_despite_evidence,0,120,0.0
overall,all,shared_interleaved,supported_answer,120,120,1.0
overall,all,shared_interleaved,cross_activity_confusion,0,0,
overall,all,shared_interleaved,cross_activity_confusion_all_cells,0,120,0.0
overall,all,shared_interleaved,context_contamination,17,240,0.07083333333333333
by_question_type,fix.fixed_version,separated,exact_match,20,20,1.0
by_question_type,fix.fixed_version,separated,retrieval_success,20,20,1.0
by_question_type,fix.fixed_version,separated,context_contamination,0,40,0.0
by_question_type,fix.fixed_version,shared_interleaved,exact_match,20,20,1.0
by_question_type,fix.fixed_version,shared_interleaved,retrieval_success,20,20,1.0
by_question_type,fix.fixed_version,shared_interleaved,context_contamination,0,40,0.0
by_question_type,fix.package,separated,exact_match,20,20,1.0
by_question_type,fix.package,separated,retrieval_success,20,20,1.0
by_question_type,fix.package,separated,context_contamination,0,40,0.0
by_question_type,fix.package,shared_interleaved,exact_match,20,20,1.0
by_question_type,fix.package,shared_interleaved,retrieval_success,20,20,1.0
by_question_type,fix.package,shared_interleaved,context_contamination,4,40,0.1
by_question_type,impact.package,separated,exact_match,20,20,1.0
by_question_type,impact.package,separated,retrieval_success,20,20,1.0
by_question_type,impact.package,separated,context_contamination,0,40,0.0
by_question_type,impact.package,shared_interleaved,exact_match,20,20,1.0
by_question_type,impact.package,shared_interleaved,retrieval_success,20,20,1.0
by_question_type,impact.package,shared_interleaved,context_contamination,13,40,0.325
by_question_type,impact.vulnerable_range,separated,exact_match,20,20,1.0
by_question_type,impact.vulnerable_range,separated,retrieval_success,20,20,1.0
by_question_type,impact.vulnerable_range,separated,context_contamination,0,40,0.0
by_question_type,impact.vulnerable_range,shared_interleaved,exact_match,20,20,1.0
by_question_type,impact.vulnerable_range,shared_interleaved,retrieval_success,20,20,1.0
by_question_type,impact.vulnerable_range,shared_interleaved,context_contamination,0,40,0.0
by_question_type,triage.package,separated,exact_match,20,20,1.0
by_question_type,triage.package,separated,retrieval_success,20,20,1.0
by_question_type,triage.package,separated,context_contamination,0,40,0.0
by_question_type,triage.package,shared_interleaved,exact_match,20,20,1.0
by_question_type,triage.package,shared_interleaved,retrieval_success,20,20,1.0
by_question_type,triage.package,shared_interleaved,context_contamination,0,40,0.0
by_question_type,triage.severity,separated,exact_match,20,20,1.0
by_question_type,triage.severity,separated,retrieval_success,20,20,1.0
by_question_type,triage.severity,separated,context_contamination,0,40,0.0
by_question_type,triage.severity,shared_interleaved,exact_match,20,20,1.0
by_question_type,triage.severity,shared_interleaved,retrieval_success,20,20,1.0
by_question_type,triage.severity,shared_interleaved,context_contamination,0,40,0.0
by_ecosystem,Go,separated,exact_match,24,24,1.0
by_ecosystem,Go,separated,retrieval_success,24,24,1.0
by_ecosystem,Go,separated,context_contamination,0,48,0.0
by_ecosystem,Go,shared_interleaved,exact_match,24,24,1.0
by_ecosystem,Go,shared_interleaved,retrieval_success,24,24,1.0
by_ecosystem,Go,shared_interleaved,context_contamination,2,48,0.041666666666666664
by_ecosystem,Maven,separated,exact_match,24,24,1.0
by_ecosystem,Maven,separated,retrieval_success,24,24,1.0
by_ecosystem,Maven,separated,context_contamination,0,48,0.0
by_ecosystem,Maven,shared_interleaved,exact_match,24,24,1.0
by_ecosystem,Maven,shared_interleaved,retrieval_success,24,24,1.0
by_ecosystem,Maven,shared_interleaved,context_contamination,1,48,0.020833333333333332
by_ecosystem,PyPI,separated,exact_match,24,24,1.0
by_ecosystem,PyPI,separated,retrieval_success,24,24,1.0
by_ecosystem,PyPI,separated,context_contamination,0,48,0.0
by_ecosystem,PyPI,shared_interleaved,exact_match,24,24,1.0
by_ecosystem,PyPI,shared_interleaved,retrieval_success,24,24,1.0
by_ecosystem,PyPI,shared_interleaved,context_contamination,2,48,0.041666666666666664
by_ecosystem,RubyGems,separated,exact_match,24,24,1.0
by_ecosystem,RubyGems,separated,retrieval_success,24,24,1.0
by_ecosystem,RubyGems,separated,context_contamination,0,48,0.0
by_ecosystem,RubyGems,shared_interleaved,exact_match,24,24,1.0
by_ecosystem,RubyGems,shared_interleaved,retrieval_success,24,24,1.0
by_ecosystem,RubyGems,shared_interleaved,context_contamination,6,48,0.125
by_ecosystem,npm,separated,exact_match,24,24,1.0
by_ecosystem,npm,separated,retrieval_success,24,24,1.0
by_ecosystem,npm,separated,context_contamination,0,48,0.0
by_ecosystem,npm,shared_interleaved,exact_match,24,24,1.0
by_ecosystem,npm,shared_interleaved,retrieval_success,24,24,1.0
by_ecosystem,npm,shared_interleaved,context_contamination,6,48,0.125
