split,model_tag,condition,family,metric,numerator,denominator,rate,denominator_rule
evaluation,gemma3:4b,sufficient,tutte,exact_match,1613,2016,0.8000992063492064,celle attese
evaluation,gemma3:4b,sufficient,tutte,format_error,0,2016,0.0,celle attese
evaluation,gemma3:4b,sufficient,tutte,unsupported_value,397,2016,0.19692460317460317,celle con output conforme
evaluation,gemma3:4b,sufficient,tutte,cross_case_intrusion,1,1310,0.0007633587786259542,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,sufficient,tutte,label_precision,2056,2634,0.7805618830675778,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,tutte,label_recall,2056,2789,0.7371817855862316,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,asset,exact_match,205,487,0.4209445585215606,celle attese
evaluation,gemma3:4b,sufficient,asset,format_error,0,487,0.0,celle attese
evaluation,gemma3:4b,sufficient,asset,unsupported_value,282,487,0.5790554414784395,celle con output conforme
evaluation,gemma3:4b,sufficient,asset,cross_case_intrusion,1,449,0.0022271714922048997,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,sufficient,asset,label_precision,314,776,0.40463917525773196,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,asset,label_recall,314,788,0.39847715736040606,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,data,exact_match,416,507,0.8205128205128205,celle attese
evaluation,gemma3:4b,sufficient,data,format_error,0,507,0.0,celle attese
evaluation,gemma3:4b,sufficient,data,unsupported_value,88,507,0.17357001972386588,celle con output conforme
evaluation,gemma3:4b,sufficient,data,cross_case_intrusion,0,441,0.0,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,sufficient,data,label_precision,564,652,0.8650306748466258,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,data,label_recall,564,765,0.7372549019607844,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,variety,exact_match,486,505,0.9623762376237623,celle attese
evaluation,gemma3:4b,sufficient,variety,format_error,0,505,0.0,celle attese
evaluation,gemma3:4b,sufficient,variety,unsupported_value,17,505,0.033663366336633666,celle con output conforme
evaluation,gemma3:4b,sufficient,variety,cross_case_intrusion,0,249,0.0,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,sufficient,variety,label_precision,646,664,0.9728915662650602,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,variety,label_recall,646,684,0.9444444444444444,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,vector,exact_match,506,517,0.9787234042553191,celle attese
evaluation,gemma3:4b,sufficient,vector,format_error,0,517,0.0,celle attese
evaluation,gemma3:4b,sufficient,vector,unsupported_value,10,517,0.019342359767891684,celle con output conforme
evaluation,gemma3:4b,sufficient,vector,cross_case_intrusion,0,171,0.0,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,sufficient,vector,label_precision,532,542,0.981549815498155,"etichette, celle con output conforme"
evaluation,gemma3:4b,sufficient,vector,label_recall,532,552,0.9637681159420289,"etichette, celle con output conforme"
evaluation,gemma3:4b,insufficient,tutte,correct_abstention,1721,2016,0.8536706349206349,celle attese
evaluation,gemma3:4b,insufficient,tutte,format_error,0,2016,0.0,celle attese
evaluation,gemma3:4b,insufficient,tutte,unsupported_value,295,2016,0.1463293650793651,celle con output conforme
evaluation,gemma3:4b,insufficient,tutte,cross_case_intrusion,149,1310,0.11374045801526718,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,insufficient,asset,correct_abstention,471,487,0.9671457905544147,celle attese
evaluation,gemma3:4b,insufficient,asset,format_error,0,487,0.0,celle attese
evaluation,gemma3:4b,insufficient,asset,unsupported_value,16,487,0.03285420944558522,celle con output conforme
evaluation,gemma3:4b,insufficient,asset,cross_case_intrusion,5,449,0.011135857461024499,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,insufficient,data,correct_abstention,481,507,0.9487179487179487,celle attese
evaluation,gemma3:4b,insufficient,data,format_error,0,507,0.0,celle attese
evaluation,gemma3:4b,insufficient,data,unsupported_value,26,507,0.05128205128205128,celle con output conforme
evaluation,gemma3:4b,insufficient,data,cross_case_intrusion,13,441,0.02947845804988662,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,insufficient,variety,correct_abstention,380,505,0.7524752475247525,celle attese
evaluation,gemma3:4b,insufficient,variety,format_error,0,505,0.0,celle attese
evaluation,gemma3:4b,insufficient,variety,unsupported_value,125,505,0.24752475247524752,celle con output conforme
evaluation,gemma3:4b,insufficient,variety,cross_case_intrusion,81,249,0.3253012048192771,celle con output conforme e confusione rilevabile
evaluation,gemma3:4b,insufficient,vector,correct_abstention,389,517,0.7524177949709865,celle attese
evaluation,gemma3:4b,insufficient,vector,format_error,0,517,0.0,celle attese
evaluation,gemma3:4b,insufficient,vector,unsupported_value,128,517,0.24758220502901354,celle con output conforme
evaluation,gemma3:4b,insufficient,vector,cross_case_intrusion,50,171,0.29239766081871343,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,sufficient,tutte,exact_match,1604,2016,0.7956349206349206,celle attese
evaluation,llama3.2:3b,sufficient,tutte,format_error,14,2016,0.006944444444444444,celle attese
evaluation,llama3.2:3b,sufficient,tutte,unsupported_value,393,2002,0.1963036963036963,celle con output conforme
evaluation,llama3.2:3b,sufficient,tutte,cross_case_intrusion,23,1297,0.017733230531996914,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,sufficient,tutte,label_precision,2139,2829,0.7560975609756098,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,tutte,label_recall,2139,2755,0.7764065335753176,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,asset,exact_match,146,487,0.2997946611909651,celle attese
evaluation,llama3.2:3b,sufficient,asset,format_error,13,487,0.026694045174537988,celle attese
evaluation,llama3.2:3b,sufficient,asset,unsupported_value,328,474,0.6919831223628692,celle con output conforme
evaluation,llama3.2:3b,sufficient,asset,cross_case_intrusion,3,436,0.006880733944954129,celle con output conforme e confusione rilevabile
evaluation,llama3.2:3b,sufficient,asset,label_precision,197,801,0.2459425717852684,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,asset,label_recall,197,755,0.2609271523178808,"etichette, celle con output conforme"
evaluation,llama3.2:3b,sufficient,data,exact_match,492,507,0.9704142011834319,celle attese
evaluation,llama3.2:3b,sufficient,data,format_error,0,507,0.0,celle attese
evaluation,llama3.2:3b,sufficient,data,unsupported_value,13,507,0.02564102564102564,celle con output conforme
evaluation,llama3.2:3b,sufficient,data,cross_case_intrusion,4,441,0.009070294784580499,celle con output conforme e confusione rilevabile
