question_id,question_category,mode,judgment_approval,run_label,reachable,evidence_retrieved_content_verified,answer_class,rq2_fact_coverage_in_context,rq2_fact_coverage_in_answer,oracle_mandatory_coverage_in_answer,supported_by_original_conversation,faithful_to_received_context,counts_as_complete_and_supported,obsolete_used,unsupported_claim,wrong_abstention,error_origin,reading_scope,retrieval_performed,context_items,context_tokens
SC05-Q1,goal,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,True,parziale,2/2,1/2,1/2,True,True,False,False,False,False,risposta,current,True,6,188
SC05-Q1,goal,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,True,parziale,2/2,1/2,1/2,True,True,False,False,False,False,risposta,current,True,6,187
SC05-Q1,goal,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,,True,4,180
SC05-Q1,goal,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,,False,16,645
SC05-Q2,update_obsolete,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,history,True,5,177
SC05-Q2,update_obsolete,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,parziale,1/2,1/2,1/2,True,True,False,False,False,False,retrieval,history,True,5,176
SC05-Q2,update_obsolete,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,,True,3,164
SC05-Q2,update_obsolete,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,True,True,completa,2/2,2/2,2/2,True,True,True,False,False,False,nessuno,,False,16,645
SC05-Q3,pending_activity,U,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,errata,0/1,0/1,0/1,False,False,False,False,True,False,retrieval,current,True,6,181
SC05-Q3,pending_activity,GER,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",prova-reale-sviluppo-sc05-v1,True,False,errata,0/1,0/1,0/1,False,False,False,False,True,False,retrieval,current,True,6,195
SC05-Q3,pending_activity,T,"proposto dall'assistente in t_ext_v1, non approvato",estensione-t-sviluppo-v1,True,False,errata,0/1,0/1,0/1,False,True,False,True,False,False,retrieval,,True,4,178
SC05-Q3,pending_activity,FULL_HISTORY,"approvato dallo studente (annotazione sc05-rq2-ger-0.2, 6 settembre 2026); non e' approvazione del relatore",nessun retrieval,True,True,completa,1/1,1/1,1/1,True,True,True,False,False,False,nessuno,,False,16,645
