scope,group,condition,metric,numerator,denominator,rate
overall,all,separated,exact_match,18,18,1.0
overall,all,separated,evidence_reachable,18,18,1.0
overall,all,separated,retrieval_success,18,18,1.0
overall,all,separated,missing_response,0,18,0.0
overall,all,separated,format_error,0,18,0.0
overall,all,separated,null_answer,0,18,0.0
overall,all,separated,null_despite_evidence,0,18,0.0
overall,all,separated,supported_answer,18,18,1.0
overall,all,separated,cross_activity_confusion,0,0,
overall,all,separated,cross_activity_confusion_all_cells,0,18,0.0
overall,all,separated,context_contamination,0,36,0.0
overall,all,shared_interleaved,exact_match,18,18,1.0
overall,all,shared_interleaved,evidence_reachable,18,18,1.0
overall,all,shared_interleaved,retrieval_success,18,18,1.0
overall,all,shared_interleaved,missing_response,0,18,0.0
overall,all,shared_interleaved,format_error,0,18,0.0
overall,all,shared_interleaved,null_answer,0,18,0.0
overall,all,shared_interleaved,null_despite_evidence,0,18,0.0
overall,all,shared_interleaved,supported_answer,18,18,1.0
overall,all,shared_interleaved,cross_activity_confusion,0,0,
overall,all,shared_interleaved,cross_activity_confusion_all_cells,0,18,0.0
overall,all,shared_interleaved,context_contamination,4,36,0.1111111111111111
by_question_type,fix.fixed_version,separated,exact_match,3,3,1.0
by_question_type,fix.fixed_version,separated,retrieval_success,3,3,1.0
by_question_type,fix.fixed_version,separated,context_contamination,0,6,0.0
by_question_type,fix.fixed_version,shared_interleaved,exact_match,3,3,1.0
by_question_type,fix.fixed_version,shared_interleaved,retrieval_success,3,3,1.0
by_question_type,fix.fixed_version,shared_interleaved,context_contamination,0,6,0.0
by_question_type,fix.package,separated,exact_match,3,3,1.0
by_question_type,fix.package,separated,retrieval_success,3,3,1.0
by_question_type,fix.package,separated,context_contamination,0,6,0.0
by_question_type,fix.package,shared_interleaved,exact_match,3,3,1.0
by_question_type,fix.package,shared_interleaved,retrieval_success,3,3,1.0
by_question_type,fix.package,shared_interleaved,context_contamination,1,6,0.16666666666666666
by_question_type,impact.package,separated,exact_match,3,3,1.0
by_question_type,impact.package,separated,retrieval_success,3,3,1.0
by_question_type,impact.package,separated,context_contamination,0,6,0.0
by_question_type,impact.package,shared_interleaved,exact_match,3,3,1.0
by_question_type,impact.package,shared_interleaved,retrieval_success,3,3,1.0
by_question_type,impact.package,shared_interleaved,context_contamination,3,6,0.5
by_question_type,impact.vulnerable_range,separated,exact_match,3,3,1.0
by_question_type,impact.vulnerable_range,separated,retrieval_success,3,3,1.0
by_question_type,impact.vulnerable_range,separated,context_contamination,0,6,0.0
by_question_type,impact.vulnerable_range,shared_interleaved,exact_match,3,3,1.0
by_question_type,impact.vulnerable_range,shared_interleaved,retrieval_success,3,3,1.0
by_question_type,impact.vulnerable_range,shared_interleaved,context_contamination,0,6,0.0
by_question_type,triage.package,separated,exact_match,3,3,1.0
by_question_type,triage.package,separated,retrieval_success,3,3,1.0
by_question_type,triage.package,separated,context_contamination,0,6,0.0
by_question_type,triage.package,shared_interleaved,exact_match,3,3,1.0
by_question_type,triage.package,shared_interleaved,retrieval_success,3,3,1.0
by_question_type,triage.package,shared_interleaved,context_contamination,0,6,0.0
by_question_type,triage.severity,separated,exact_match,3,3,1.0
by_question_type,triage.severity,separated,retrieval_success,3,3,1.0
by_question_type,triage.severity,separated,context_contamination,0,6,0.0
by_question_type,triage.severity,shared_interleaved,exact_match,3,3,1.0
by_question_type,triage.severity,shared_interleaved,retrieval_success,3,3,1.0
by_question_type,triage.severity,shared_interleaved,context_contamination,0,6,0.0
by_ecosystem,Maven,separated,exact_match,6,6,1.0
by_ecosystem,Maven,separated,retrieval_success,6,6,1.0
by_ecosystem,Maven,separated,context_contamination,0,12,0.0
by_ecosystem,Maven,shared_interleaved,exact_match,6,6,1.0
by_ecosystem,Maven,shared_interleaved,retrieval_success,6,6,1.0
by_ecosystem,Maven,shared_interleaved,context_contamination,1,12,0.08333333333333333
by_ecosystem,PyPI,separated,exact_match,6,6,1.0
by_ecosystem,PyPI,separated,retrieval_success,6,6,1.0
by_ecosystem,PyPI,separated,context_contamination,0,12,0.0
by_ecosystem,PyPI,shared_interleaved,exact_match,6,6,1.0
by_ecosystem,PyPI,shared_interleaved,retrieval_success,6,6,1.0
by_ecosystem,PyPI,shared_interleaved,context_contamination,1,12,0.08333333333333333
by_ecosystem,npm,separated,exact_match,6,6,1.0
by_ecosystem,npm,separated,retrieval_success,6,6,1.0
by_ecosystem,npm,separated,context_contamination,0,12,0.0
by_ecosystem,npm,shared_interleaved,exact_match,6,6,1.0
by_ecosystem,npm,shared_interleaved,retrieval_success,6,6,1.0
by_ecosystem,npm,shared_interleaved,context_contamination,2,12,0.16666666666666666
