model,condition,group,metric,numerator,denominator,rate
gemma3:4b,separated,handoff_dependent,responses,4,4,1.0
gemma3:4b,separated,handoff_dependent,missing_or_error,0,4,0.0
gemma3:4b,separated,handoff_dependent,format_error,0,4,0.0
gemma3:4b,separated,handoff_dependent,declared_answered,0,4,0.0
gemma3:4b,separated,handoff_dependent,declared_insufficient,4,4,1.0
gemma3:4b,separated,handoff_dependent,status_matches_expected_given_context,4,4,1.0
gemma3:4b,separated,handoff_dependent,evidence_facts_in_corpus,1,7,0.14285714285714285
gemma3:4b,separated,handoff_dependent,evidence_facts_in_context,1,7,0.14285714285714285
gemma3:4b,separated,handoff_dependent,obsolete_marker_flagged,1,4,0.25
gemma3:4b,separated,handoff_dependent,unsupported_identifier_flagged,0,4,0.0
gemma3:4b,separated,handoff_dependent,human_review.reviewed,0,4,0.0
gemma3:4b,separated,handoff_dependent,human_review.classes.complete_supported,0,0,
gemma3:4b,separated,handoff_dependent,human_review.classes.partial,0,0,
gemma3:4b,separated,handoff_dependent,human_review.classes.wrong,0,0,
gemma3:4b,separated,handoff_dependent,human_review.classes.insufficiency_recognized,0,0,
gemma3:4b,separated,handoff_dependent,human_review.classes.unsupported_claim,0,0,
gemma3:4b,separated,handoff_dependent,human_review.uses_obsolete_as_current,0,0,
gemma3:4b,separated,handoff_dependent,human_review.unsupported_claim,0,0,
gemma3:4b,separated,post_handoff_control,responses,2,2,1.0
gemma3:4b,separated,post_handoff_control,missing_or_error,0,2,0.0
gemma3:4b,separated,post_handoff_control,format_error,0,2,0.0
gemma3:4b,separated,post_handoff_control,declared_answered,0,2,0.0
gemma3:4b,separated,post_handoff_control,declared_insufficient,2,2,1.0
gemma3:4b,separated,post_handoff_control,status_matches_expected_given_context,2,2,1.0
gemma3:4b,separated,post_handoff_control,evidence_facts_in_corpus,3,3,1.0
gemma3:4b,separated,post_handoff_control,evidence_facts_in_context,1,3,0.3333333333333333
gemma3:4b,separated,post_handoff_control,obsolete_marker_flagged,1,2,0.5
gemma3:4b,separated,post_handoff_control,unsupported_identifier_flagged,0,2,0.0
gemma3:4b,separated,post_handoff_control,human_review.reviewed,0,2,0.0
gemma3:4b,separated,post_handoff_control,human_review.classes.complete_supported,0,0,
gemma3:4b,separated,post_handoff_control,human_review.classes.partial,0,0,
gemma3:4b,separated,post_handoff_control,human_review.classes.wrong,0,0,
gemma3:4b,separated,post_handoff_control,human_review.classes.insufficiency_recognized,0,0,
