scenario,modalita,ruolo,n_risposte,complete_e_supportate,complete_e_supportate_pct,classe_completa,classe_parziale,classe_errata,astensione_corretta,retrieval_success,retrieval_success_pct,answer_success,reachability,astensione_corretta_su_non_raggiungibili,informazione_obsoleta,affermazioni_non_supportate,astensioni_errate,contesto_token_medio,stato_approvazione,revisione_scheda,esecuzione_di_riferimento
SC02,T,confronto principale,7,5/7,71.4,5,1,0,1,5/6,83.3,5/5,6/7,1/1,0/7,0/7,0/7,159.6,"proposto dall'assistente, non approvato",r3,prova-reale-sviluppo-sc02-v1
SC02,F,confronto principale,7,2/7,28.6,3,1,2,1,4/6,66.7,2/4,6/7,1/1,1/7,2/7,0/7,186.0,"proposto dall'assistente, non approvato",r3,prova-reale-sviluppo-sc02-v1
SC02,FULL_HISTORY,controllo diagnostico fuori budget,7,6/7,85.7,6,0,0,1,non applicabile,,6/6,6/7,1/1,0/7,0/7,0/7,319.0,"proposto dall'assistente, non approvato",r3,prova-reale-sviluppo-sc02-v1
SC03,F,confronto principale,7,1/7,14.3,1,4,1,1,1/6,16.7,1/1,6/7,1/1,0/7,0/7,0/7,189.6,"proposto dall'assistente, non approvato",r2,"prova-reale-sviluppo-sc03-v1 (esecuzione iniziale, 5 settembre 2026)"
SC03,U,confronto principale,7,1/7,14.3,1,2,3,1,1/6,16.7,1/1,6/7,1/1,1/7,1/7,0/7,185.0,"proposto dall'assistente, non approvato",r2,"prova-riparazione-u-instructions-0.3 (esecuzione successiva, retrieval_repair_v3)"
SC03,FULL_HISTORY,controllo diagnostico fuori budget,7,5/7,71.4,5,1,0,1,non applicabile,,5/6,6/7,1/1,0/7,0/7,0/7,537.0,"proposto dall'assistente, non approvato",r2,"prova-reale-sviluppo-sc03-v1 (esecuzione iniziale, 5 settembre 2026)"
SC04,U,confronto principale,7,2/7,28.6,2,4,0,1,2/6,33.3,2/2,6/7,1/1,0/7,0/7,0/7,182.6,"proposto dall'assistente, non approvato",r3,"prova-riparazione-u-instructions-0.3 (sc04_repair_v3, 5 settembre 2026)"
SC04,G,confronto principale,7,2/7,28.6,2,4,0,1,2/6,33.3,2/2,6/7,1/1,0/7,0/7,0/7,179.4,"proposto dall'assistente, non approvato",r3,"prova-riparazione-u-instructions-0.3 (sc04_repair_v3, 5 settembre 2026)"
SC04,T,confronto aggiuntivo,7,4/7,57.1,4,2,0,1,4/6,66.7,4/4,6/7,1/1,0/7,0/7,0/7,136.1,"proposto dall'assistente, non approvato",r3,"estensione-t-sviluppo-v1 (t_ext_v1, 8 settembre 2026)"
SC04,FULL_HISTORY,controllo diagnostico fuori budget,7,4/7,57.1,4,2,0,1,non applicabile,,4/6,6/7,1/1,0/7,1/7,0/7,529.0,"proposto dall'assistente, non approvato",r3,"esecuzione iniziale (generation_dev_sc04.jsonl, 4 settembre 2026), non rigenerata"
SC05,U,confronto principale,7,2/7,28.6,2,2,2,1,3/6,50.0,2/3,6/7,1/1,0/7,2/7,0/7,177.9,approvato dallo studente (non del relatore),r2,"prova-reale-sviluppo-sc05-v1 (sc05_dev_v1, 6 settembre 2026)"
SC05,GER,confronto principale,7,1/7,14.3,1,3,2,1,2/6,33.3,1/2,6/7,1/1,0/7,2/7,0/7,183.3,approvato dallo studente (non del relatore),r2,"prova-reale-sviluppo-sc05-v1 (sc05_dev_v1, 6 settembre 2026)"
SC05,T,confronto aggiuntivo,7,3/7,42.9,3,0,3,1,4/6,66.7,3/4,6/7,1/1,2/7,0/7,0/7,173.7,"proposto dall'assistente, non approvato",r2,"estensione-t-sviluppo-v1 (t_ext_v1, 8 settembre 2026)"
SC05,FULL_HISTORY,controllo diagnostico fuori budget,7,6/7,85.7,6,0,0,1,non applicabile,,6/6,6/7,1/1,0/7,0/7,0/7,645.0,approvato dallo studente (non del relatore),r2,"prova-reale-sviluppo-sc05-v1 (sc05_dev_v1, 6 settembre 2026)"
